label,points,ratio
1,"[((66, 91), (76, 84)), ((76, 84), (87, 70)), ((87, 70), (91, 56)), ((91, 56), (97, 43)), ((66, 91), (66, 64)), ((66, 64), (63, 56)), ((63, 56), (59, 49)), ((59, 49), (56, 46)), ((66, 91), (59, 73)), ((59, 73), (52, 66)), ((52, 66), (46, 60)), ((46, 60), (42, 56)), ((66, 91), (56, 83)), ((56, 83), (46, 80)), ((46, 80), (42, 77)), ((42, 77), (36, 74)), ((66, 91), (56, 94)), ((56, 94), (50, 94)), ((50, 94), (46, 94)), ((46, 94), (39, 97))]","(34, 42, 68, 87)"
2,"[((58, 76), (55, 73)), ((55, 73), (48, 66)), ((48, 66), (41, 55)), ((41, 55), (32, 45)), ((58, 76), (72, 86)), ((72, 86), (72, 99)), ((72, 99), (85, 96)), ((85, 96), (92, 96)), ((58, 76), (71, 76)), ((71, 76), (78, 82)), ((78, 82), (85, 82)), ((85, 82), (95, 80)), ((58, 76), (72, 69)), ((72, 69), (78, 66)), ((78, 66), (85, 62)), ((85, 62), (92, 58)), ((58, 76), (68, 62)), ((68, 62), (72, 56)), ((72, 56), (78, 52)), ((78, 52), (82, 46))]","(31, 42, 88, 86)"
3,"[((62, 99), (76, 88)), ((76, 88), (87, 76)), ((87, 76), (94, 59)), ((94, 59), (98, 48)), ((62, 99), (69, 66)), ((69, 66), (62, 56)), ((62, 56), (62, 51)), ((62, 51), (58, 47)), ((62, 99), (58, 73)), ((58, 73), (51, 63)), ((51, 63), (48, 59)), ((48, 59), (47, 58)), ((62, 99), (55, 84)), ((55, 84), (44, 77)), ((44, 77), (41, 76)), ((41, 76), (40, 73)), ((62, 99), (55, 98)), ((55, 98), (51, 98)), ((51, 98), (47, 98)), ((47, 98), (44, 98))]","(36, 43, 67, 92)"
4,"[((71, 95), (61, 85)), ((61, 85), (51, 69)), ((51, 69), (41, 58)), ((41, 58), (34, 48)), ((71, 95), (65, 65)), ((65, 65), (71, 52)), ((71, 52), (75, 45)), ((75, 45), (78, 38)), ((71, 95), (71, 72)), ((71, 72), (78, 62)), ((78, 62), (84, 55)), ((84, 55), (88, 48)), ((71, 95), (77, 82)), ((77, 82), (81, 76)), ((81, 76), (88, 72)), ((88, 72), (91, 72)), ((71, 95), (78, 92)), ((78, 92), (81, 92)), ((81, 92), (85, 92)), ((85, 92), (88, 89))]","(31, 36, 89, 97)"
5,"[((70, 80), (79, 73)), ((79, 73), (90, 60)), ((90, 60), (96, 47)), ((96, 47), (102, 34)), ((70, 80), (73, 57)), ((73, 57), (67, 50)), ((67, 50), (66, 44)), ((66, 44), (64, 41)), ((70, 80), (64, 67)), ((64, 67), (60, 60)), ((60, 60), (54, 57)), ((54, 57), (53, 54)), ((70, 80), (63, 80)), ((63, 80), (57, 76)), ((57, 76), (50, 73)), ((50, 73), (47, 73)), ((70, 80), (66, 90)), ((66, 90), (60, 93)), ((60, 93), (54, 93)), ((54, 93), (50, 93))]","(38, 33, 68, 79)"
6,"[((70, 79), (79, 72)), ((79, 72), (89, 60)), ((89, 60), (96, 47)), ((96, 47), (101, 36)), ((70, 79), (72, 57)), ((72, 57), (69, 50)), ((69, 50), (66, 46)), ((66, 46), (63, 40)), ((70, 79), (63, 66)), ((63, 66), (60, 62)), ((60, 62), (56, 56)), ((56, 56), (53, 53)), ((70, 79), (62, 78)), ((62, 78), (56, 75)), ((56, 75), (50, 72)), ((50, 72), (46, 69)), ((70, 79), (63, 89)), ((63, 89), (59, 89)), ((59, 89), (53, 92)), ((53, 92), (49, 92))]","(36, 33, 70, 77)"
7,"[((70, 80), (77, 73)), ((77, 73), (89, 61)), ((89, 61), (96, 48)), ((96, 48), (102, 36)), ((70, 80), (71, 58)), ((71, 58), (70, 52)), ((70, 52), (68, 48)), ((68, 48), (67, 45)), ((70, 80), (64, 68)), ((64, 68), (61, 64)), ((61, 64), (58, 61)), ((58, 61), (55, 58)), ((70, 80), (61, 80)), ((61, 80), (55, 77)), ((55, 77), (51, 74)), ((51, 74), (48, 74)), ((70, 80), (61, 92)), ((61, 92), (58, 93)), ((58, 93), (52, 96)), ((52, 96), (49, 96))]","(34, 34, 106, 72)"
8,"[((24, 82), (33, 75)), ((33, 75), (43, 63)), ((43, 63), (50, 53)), ((50, 53), (56, 40)), ((24, 82), (27, 66)), ((27, 66), (24, 59)), ((24, 59), (24, 53)), ((24, 53), (21, 50)), ((24, 82), (20, 75)), ((20, 75), (17, 69)), ((17, 69), (14, 66)), ((14, 66), (11, 63)), ((24, 82), (17, 85)), ((17, 85), (11, 82)), ((11, 82), (8, 79)), ((8, 79), (4, 79)), ((24, 82), (18, 95)), ((18, 95), (11, 98)), ((11, 98), (8, 101)), ((8, 101), (7, 102))]","(3, 37, 119, 69)"
9,"[((69, 80), (76, 73)), ((76, 73), (88, 61)), ((88, 61), (94, 51)), ((94, 51), (100, 38)), ((69, 80), (70, 61)), ((70, 61), (69, 55)), ((69, 55), (67, 51)), ((67, 51), (66, 48)), ((69, 80), (63, 70)), ((63, 70), (60, 67)), ((60, 67), (57, 64)), ((57, 64), (54, 61)), ((69, 80), (61, 82)), ((61, 82), (54, 79)), ((54, 79), (50, 79)), ((50, 79), (45, 76)), ((69, 80), (63, 92)), ((63, 92), (57, 95)), ((57, 95), (54, 98)), ((54, 98), (50, 101))]","(33, 35, 108, 69)"
10,"[((70, 79), (79, 73)), ((79, 73), (89, 61)), ((89, 61), (95, 51)), ((95, 51), (101, 39)), ((70, 79), (73, 63)), ((73, 63), (70, 55)), ((70, 55), (70, 51)), ((70, 51), (67, 48)), ((70, 79), (67, 73)), ((67, 73), (63, 67)), ((63, 67), (60, 64)), ((60, 64), (57, 61)), ((70, 79), (64, 83)), ((64, 83), (57, 79)), ((57, 79), (51, 79)), ((51, 79), (48, 76)), ((70, 79), (64, 92)), ((64, 92), (60, 95)), ((60, 95), (54, 98)), ((54, 98), (51, 101))]","(34, 35, 108, 69)"
